TERM,SUBJECT,NBR,COURSE NAME,SECTION,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,P,C-,D,NC,F,W,INC/NA,AVG GPA,,
Spring 2021,ENGL,152W,Readings American Literature,1,"SZLAUDERBACH, K",28,0,5,3,7,2,0,0,0,0,1,1,0,0,7,2,3.310526316,,
Spring 2021,ENGL,152W,Readings American Literature,2,"CASTILLO, G",28,5,2,1,5,4,4,0,2,0,1,0,0,0,4,0,3.195833333,,
Spring 2021,ENGL,153W,Introduction to the Bible,1,"SHIPPEE, A",28,0,3,3,2,2,4,2,0,0,2,0,0,1,8,1,3.027777778,,
Spring 2021,ENGL,157W,Readings in Global Literatures,2,"SVAY, S",28,1,2,6,7,4,3,0,0,0,0,0,0,2,3,0,3.365217391,,
Spring 2021,ENGL,157W,Readings in Global Literatures,1,"KOUAKOU, E",28,2,1,5,1,6,5,0,2,0,2,0,0,0,4,0,3.029166667,,
Spring 2021,ENGL,157W,Readings in Global Literatures,3,"KAPUSCINSKI, S",28,0,2,6,3,1,3,1,3,0,1,1,0,3,4,0,2.961904762,,
Spring 2021,ENGL,161W,Introduction to Narrative,4,"PLOSIA, T",27,6,6,8,2,2,0,0,1,0,0,0,0,0,2,0,3.688,,
Spring 2021,ENGL,161W,Introduction to Narrative,3,"SHELICHACH, M",28,4,8,7,4,1,1,1,0,0,0,0,0,0,2,0,3.657692308,,
Spring 2021,ENGL,161W,Introduction to Narrative,1,"GUZMAN, C",28,0,17,0,0,5,0,0,4,0,0,0,0,2,0,0,3.5,,
Spring 2021,ENGL,161W,Introduction to Narrative,2,"LEHMAN, E",28,0,4,2,6,2,2,0,1,0,0,0,0,0,11,0,3.329411765,,
Spring 2021,ENGL,162W,Literature and Place,01R,"CORNETTA, J",28,0,19,4,3,0,0,0,0,0,0,0,0,0,2,0,3.873076923,,
Spring 2021,ENGL,162W,Literature and Place,03R,"JUN, E",28,3,8,11,3,0,1,0,0,0,0,0,0,0,2,0,3.742307692,,
Spring 2021,ENGL,162W,Literature and Place,10SK,"ASHRAF, S",25,0,12,8,3,1,1,0,0,0,0,0,0,0,0,0,3.728,,
Spring 2021,ENGL,162W,Literature and Place,QI1,"COLUCCIO, S",17,0,11,1,2,1,1,1,0,0,0,0,0,0,0,0,3.664705882,,
Spring 2021,ENGL,162W,Literature and Place,6SK,"MARTINEZ, M",25,0,9,4,3,4,3,0,0,0,0,0,0,2,0,0,3.513043478,,
Spring 2021,ENGL,162W,Literature and Place,4SK,"KHAN, A",23,4,2,4,2,3,1,2,0,0,0,0,0,2,2,1,3.427777778,,
Spring 2021,ENGL,162W,Literature and Place,QI2,"GARGANOURAKIS, I",14,0,7,0,2,3,0,0,2,0,0,0,0,0,0,0,3.4,,
Spring 2021,ENGL,162W,Literature and Place,3SK,"KHAN, A",25,5,4,2,4,1,1,0,2,0,1,1,0,0,3,1,3.285714286,,
Spring 2021,ENGL,162W,Literature and Place,02R,"GOFF, F",28,2,3,5,2,6,2,2,0,0,0,0,1,3,1,1,3.17826087,,
Spring 2021,ENGL,162W,Literature and Place,2SK,"KHAN, A",24,3,4,1,1,7,0,0,0,0,1,2,0,3,2,0,3.142105263,,
Spring 2021,ENGL,162W,Literature and Place,QI3,"HICKS, B",17,0,4,4,2,1,0,0,2,0,1,3,0,0,0,0,2.888235294,,
Spring 2021,ENGL,162W,Literature and Place,1SK,"SINGH, P",20,0,2,4,2,2,1,1,4,0,1,0,1,1,1,0,2.783333333,,
Spring 2021,ENGL,162W,Literature and Place,12SK,"WOZNIAK, S",25,0,3,2,2,5,4,0,3,0,2,2,0,1,1,0,2.747826087,,
Spring 2021,ENGL,162W,Literature and Place,7SK,"MORGAN, P",23,2,3,1,0,2,1,1,2,0,4,1,0,3,3,0,2.735294118,,
Spring 2021,ENGL,162W,Literature and Place,11SK,"WOZNIAK, S",18,2,1,0,2,2,0,1,3,0,1,3,0,1,2,0,2.506666667,,
Spring 2021,ENGL,165W,Introduction to Poetry,3,"NORTON, L",28,2,19,1,1,0,2,0,0,0,0,0,0,2,1,0,3.856,,
Spring 2021,ENGL,165W,Introduction to Poetry,01R,"MAROTTA, R",28,0,13,9,5,0,0,0,0,0,0,0,0,0,0,1,3.77037037,,
Spring 2021,ENGL,165W,Introduction to Poetry,5,"WILSON, M",28,5,11,2,2,2,0,0,2,0,0,0,0,1,3,0,3.666666667,,
Spring 2021,ENGL,165W,Introduction to Poetry,02R,"NDUKA, U",28,0,12,3,8,2,0,0,0,0,0,0,0,1,2,0,3.66,,
Spring 2021,ENGL,165W,Introduction to Poetry,6,"RUBIN, J",28,0,12,4,3,3,2,0,0,0,0,0,0,1,3,0,3.629166667,,
Spring 2021,ENGL,165W,Introduction to Poetry,4,"AYAZ, O",28,0,6,6,13,2,0,0,0,0,0,0,0,0,1,0,3.522222222,,
Spring 2021,ENGL,165W,Introduction to Poetry,7,"WILSON, E",28,7,2,5,4,1,1,1,0,0,1,0,0,5,1,0,3.518181818,,
Spring 2021,ENGL,165W,Introduction to Poetry,8,"MERIC, A",28,1,4,4,2,4,1,2,2,0,0,1,0,4,3,0,3.128571429,,
Spring 2021,ENGL,170W,Introduction to Literary Study,1,"FISK, G",28,0,21,2,0,1,1,0,0,0,0,0,0,0,3,0,3.884,,
Spring 2021,ENGL,170W,Introduction to Literary Study,3,"DOUGLASS, A",28,20,0,0,1,2,0,0,1,0,0,0,0,0,4,0,3.804166667,,
Spring 2021,ENGL,170W,Introduction to Literary Study,2,"HONG, C",28,2,17,1,3,0,1,1,0,0,0,0,0,2,0,1,3.784,,
Spring 2021,ENGL,170W,Introduction to Literary Study,4,"SCHNUR, K",28,2,1,4,6,3,2,3,1,0,1,1,0,1,3,0,3.025,,
Spring 2021,ENGL,200W,Writing about Writing,2,"ALBRACHT, L",18,0,9,1,3,2,0,0,1,0,0,0,0,1,1,0,3.6,,
Spring 2021,ENGL,200W,Writing about Writing,1,"ALBRACHT, L",18,0,12,0,0,2,0,0,1,0,0,1,0,0,2,0,3.5625,,
Spring 2021,ENGL,210W,Intro Creative Writing,3,"WEIR, J",18,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,
Spring 2021,ENGL,210W,Intro Creative Writing,4,"WEIR, J",18,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,
Spring 2021,ENGL,210W,Intro Creative Writing,6,"SALAZAR MONARREZ, D",18,14,1,1,0,0,0,0,0,0,0,0,0,1,1,0,3.98125,,
Spring 2021,ENGL,210W,Intro Creative Writing,2,"HAHN, K",18,1,13,1,0,0,0,1,0,0,1,0,0,0,1,0,3.747058824,,
Spring 2021,ENGL,210W,Intro Creative Writing,8,"DIMAGGIO, D",19,1,10,2,0,0,1,0,1,0,0,1,0,0,3,0,3.56875,,
Spring 2021,ENGL,210W,Intro Creative Writing,01R,"BLACK, R",19,0,11,3,1,1,1,0,1,0,1,0,0,0,0,0,3.568421053,,
Spring 2021,ENGL,210W,Intro Creative Writing,5,"MULLEN, Z",18,2,6,3,1,1,0,1,0,0,1,1,0,0,2,0,3.4,,
Spring 2021,ENGL,210W,Intro Creative Writing,7,"PERNICANO, K",18,2,2,1,1,0,1,0,3,1,0,0,0,1,6,0,3.17,,
Spring 2021,ENGL,211W,Introduction to Writing Nonfic,2,"HYATT, F",20,4,10,0,2,2,0,0,0,0,0,0,0,0,2,0,3.811111111,,
Spring 2021,ENGL,211W,Introduction to Writing Nonfic,1,"HYATT, F",18,3,11,0,2,1,0,0,1,0,0,0,0,0,0,0,3.755555556,,
Spring 2021,ENGL,301W,Fiction Workshop,1,"WEIR, J",19,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,
Spring 2021,ENGL,303W,Non-fiction Workshop,1,"TOUGAW, J",20,3,5,1,5,1,1,2,0,0,0,0,0,0,0,2,3.472222222,,
Spring 2021,ENGL,391W,Vt: Senior Semi in Lit,1,"CASSVAN, J",18,1,6,7,1,1,0,0,0,0,0,0,0,2,0,0,3.7625,,
Spring 2021,ENGL,391W,Vt: Senior Semi in Lit,3,"HINTZ, C",20,0,9,1,3,1,1,0,0,0,1,0,0,0,2,2,3.5625,,
Spring 2021,ENGL,391W,Vt: Senior Semi in Lit,4,"SCHANOES, V",17,0,2,8,3,1,2,0,0,0,0,0,0,0,1,0,3.49375,,
Spring 2021,ENGL,391W,Vt: Senior Semi in Lit,2,"GARDAPHE, F",19,0,4,4,3,2,0,2,2,0,0,0,0,0,2,0,3.252941176,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,1,"YI, C",131,38,29,20,12,7,4,5,1,0,2,7,0,3,3,0,3.4984,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,2,"SHALKOWSKI, A",88,5,8,13,9,9,5,6,2,1,1,11,0,9,8,1,2.910144928,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,1A,"DORFMAN, A",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,1B,"MONTERO MERCEDES, A",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,1C,"MAQBOOL, A",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,1D,"MONTERO MERCEDES, A",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,1E,"MAQBOOL, A",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,1F,"WEERASINGHE, K",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,2A,"SMITH, A",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,2B,"ROLDAN AYALA, Z",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,2C,"SMITH, A",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,99,Guide to Environmental Choices,2I,"BROWN, M",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,100,Our Planet In 21st Century,2,"WILLIAMS, L",23,3,3,1,1,2,1,1,3,0,3,0,0,0,4,1,2.95,,
Spring 2021,ENSCI,100,Our Planet In 21st Century,1,"BIRD, J",132,2,14,16,17,7,11,7,6,2,12,4,1,16,17,0,2.912371134,,
Spring 2021,ENSCI,100,Our Planet In 21st Century,1A,"STOETH, A",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,100,Our Planet In 21st Century,1B,"GARRISON, E",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,100,Our Planet In 21st Century,1C,"HUMPHRIES, G",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,100,Our Planet In 21st Century,1D,"STOETH, A",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,100,Our Planet In 21st Century,1E,"GARRISON, E",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,100,Our Planet In 21st Century,1F,"HUMPHRIES, G",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,,
Spring 2021,ENSCI,100,Our Planet In 21st Century,2A,"WILLIAMS, L",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,,
Spring 2021,ENSCI,112,Our Changing Planet,2,"YI, C",69,18,18,12,1,4,0,3,4,0,0,4,1,4,0,0,3.424615385,,
Spring 2021,ENSCI,112,Our Changing Planet,1,"BLANFORD, W",67,0,6,19,11,7,1,6,4,0,3,4,0,4,2,0,3.036065574,,
Spring 2021,ENSCI,203,Environmental Microbiology,1,"O'MULLAN, G",11,0,2,2,2,3,1,0,0,0,0,0,0,0,1,0,3.37,,
Spring 2021,EURO,120,Writing European Lit & Culture,3,"CLOAREC, Y",30,1,21,3,1,0,0,0,0,0,0,0,0,0,3,1,3.938461538,,
Spring 2021,EURO,120,Writing European Lit & Culture,4,"CLOAREC, Y",29,0,20,5,1,0,1,0,0,0,0,1,0,1,0,0,3.767857143,,
Spring 2021,EURO,120,Writing European Lit & Culture,5,"SOUMAKIS, F",28,3,13,2,5,0,2,0,0,0,3,0,0,0,0,0,3.514285714,,
Spring 2021,EURO,120,Writing European Lit & Culture,2,"CARR, N",28,1,7,4,2,3,3,0,2,0,0,3,1,1,1,0,2.980769231,,
Spring 2021,EURO,301W,VT: Topics in European Studies,1,"CLOAREC, Y",29,0,18,5,2,0,0,0,0,0,0,1,0,0,2,1,3.773076923,,
Spring 2021,FNES,10,Intro Skill Assessment,2,"GIANNOPOULOS, G",21,0,8,7,4,1,0,0,0,0,0,0,0,0,1,0,3.705,,
Spring 2021,FNES,10,Intro Skill Assessment,1,"CAIACCIA, L",24,0,8,1,5,6,0,0,1,0,0,1,0,0,1,1,3.327272727,,
Spring 2021,FNES,11,Physical Condition,1,"LEE, C",23,2,10,1,2,2,1,1,0,0,0,0,0,0,4,0,3.647368421,,
Spring 2021,FNES,12,Team Sports,2,"LEE, C",24,7,12,0,3,0,0,0,0,0,0,0,0,0,2,0,3.904545455,,
Spring 2021,FNES,12,Team Sports,3,"LEE, C",25,4,9,8,1,2,0,0,0,0,0,0,0,0,1,0,3.7875,,
Spring 2021,FNES,12,Team Sports,1,"FLEMING, L",27,0,3,2,3,6,3,0,2,0,0,3,0,1,3,1,2.836363636,,
Spring 2021,FNES,13,Dance,2,"OSBORNE, H",28,3,13,7,1,0,0,0,0,0,0,0,0,1,3,0,3.883333333,,
Spring 2021,FNES,14,Individual Sports,1,"OSBORNE, H",11,2,7,1,0,0,0,0,0,0,0,0,0,0,1,0,3.97,,
Spring 2021,FNES,14,Individual Sports,3,"CASSANDRO, K",21,8,6,0,3,0,1,0,1,0,0,0,0,1,1,0,3.715789474,,
Spring 2021,FNES,14,Individual Sports,2,"OSBORNE, H",20,6,7,1,2,0,0,0,0,0,0,0,1,0,3,0,3.664705882,,
Spring 2021,FNES,14,Individual Sports,6,"FLEMING, L",22,0,0,2,4,7,1,5,0,0,0,0,0,2,1,0,2.936842105,,
Spring 2021,FNES,14,Individual Sports,7,"FLEMING, L",18,0,0,1,3,2,2,2,1,0,1,1,0,4,1,0,2.638461538,,
Spring 2021,FNES,30,Fitness Through Diet,2,"LEMONDA, T",36,1,7,8,3,6,2,0,0,0,0,0,0,4,5,0,3.514814815,,
Spring 2021,FNES,101,The Science of Foods,1,"CHOI, S",70,4,15,15,6,11,2,3,2,0,3,2,0,3,3,1,3.296825397,,
Spring 2021,FNES,101,The Science of Foods,1A,"MORAN, P",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,,
Spring 2021,FNES,101,The Science of Foods,1B,"REGANATO, L",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,,
Spring 2021,FNES,101,The Science of Foods,1C,"AROUGHETI, J",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,,
Spring 2021,FNES,104,Aspects Of Foods,1,"HELFAND, S",39,0,3,7,9,9,2,0,0,0,1,3,0,2,3,0,3.079411765,,
Spring 2021,FNES,121,Textiles,1,"KILLEANEY, R",22,0,5,4,2,2,3,0,0,0,1,0,0,2,3,0,3.364705882,,
Spring 2021,FNES,126,Apparel Science I,1,"SCHETTINO, B",11,5,0,1,0,1,1,1,0,0,0,0,0,2,0,0,3.522222222,,
Spring 2021,FNES,143,Fundamental Motor Skills,1,"WIENER, D",26,0,5,2,3,9,5,0,2,0,0,0,0,0,0,0,3.146153846,,
Spring 2021,FNES,146,Sport Skill Analysis,1,"LEE, C",24,1,10,1,6,4,0,0,0,0,0,0,0,0,1,1,3.613636364,,
Spring 2021,FNES,147,Family Relations,2,"STEIN, A",59,25,14,10,1,4,2,0,0,0,0,0,0,0,2,1,3.816071429,,
Spring 2021,FNES,147,Family Relations,3,"RIINA, E",59,10,12,7,7,10,0,3,1,0,1,1,0,1,6,0,3.434615385,,
Spring 2021,FNES,147,Family Relations,1,"RIINA, E",59,5,10,7,11,11,2,1,0,1,2,2,0,3,4,0,3.3,,
Spring 2021,FNES,151,Families as Consumers,1,"DIMOLA, L",54,4,10,7,6,9,4,3,3,1,2,2,0,1,2,0,3.156,,
Spring 2021,FNES,158,Fashion Hist 20th Cent - Pres,1,"RIPLEY, E",28,1,2,4,2,3,3,4,1,0,1,0,0,0,6,1,3.019047619,,
Spring 2021,FNES,160,Principles/Foundations of P.E,1,"FREDRICK III, R",38,0,9,8,4,12,0,0,1,0,0,1,0,0,3,0,3.365714286,,
Spring 2021,FNES,163,General Nutrition,1,"GALLUCCI, M",58,24,16,7,4,1,1,2,0,0,0,0,0,0,2,1,3.807272727,,
Spring 2021,FNES,163,General Nutrition,2,"CIUFFO, L",59,30,10,10,2,1,5,0,0,0,0,0,0,0,1,0,3.794827586,,
Spring 2021,FNES,163,General Nutrition,4,"PRICE, M",59,0,28,10,7,6,0,2,1,0,2,0,1,2,0,0,3.510526316,,
Spring 2021,FNES,163,General Nutrition,NAV,"GALLUCCI, M",10,3,2,0,0,1,2,1,0,0,0,0,0,0,1,0,3.411111111,,
Spring 2021,FNES,203,Meal Planning & Mgt,3,"LINDSAY, M",24,2,11,2,5,1,0,0,0,0,0,0,0,2,1,0,3.757142857,,
Spring 2021,FNES,203,Meal Planning & Mgt,2,"LINDSAY, M",23,3,4,5,2,2,2,1,0,0,0,2,0,1,1,0,3.276190476,,
Spring 2021,FNES,204,International Cuisine,1,"KEATLEY, G",24,6,10,2,2,2,0,0,1,0,0,0,0,0,1,0,3.739130435,,
Spring 2021,FNES,211,Intro To Exercise Training,1,"AZZOLLINI, A",23,0,4,2,2,1,6,2,0,0,2,0,0,2,2,0,3.010526316,,
Spring 2021,FNES,211,Intro To Exercise Training,2,"AZZOLLINI, A",24,0,2,1,4,2,5,2,1,0,2,1,0,2,2,0,2.77,,
Spring 2021,FNES,212,Tch/Assmnt Of Team Activities,1,"FREDRICK III, R",17,0,3,3,0,9,0,0,0,0,0,0,0,0,2,0,3.34,,
Spring 2021,FNES,214,Tchg Ind/Dual Act,1,"FREDRICK III, R",17,3,2,3,1,6,0,0,0,0,0,0,0,0,2,0,3.493333333,,
Spring 2021,FNES,230,"Exer, Bal, & Weight Control",1,"TONER, M",41,0,2,0,1,8,6,2,11,0,0,3,0,5,3,0,2.457575758,,
Spring 2021,FNES,230,"Exer, Bal, & Weight Control",3,"TONER, M",41,0,0,1,1,6,8,6,11,0,0,3,0,1,4,0,2.372222222,,
Spring 2021,FNES,235,Analysis of Human Mvmt,1,"CHINNAN, A",41,0,19,2,6,3,3,3,4,0,0,1,0,0,0,0,3.32195122,,
Spring 2021,FNES,238,Intro to Family/Consumer Sci,1,"KENNY-DIDAMO, K",10,2,3,2,0,0,1,0,0,0,0,0,0,2,0,0,3.7625,,
Spring 2021,FNES,249,Child and Family Policies,1,"ROBILA, M",30,9,8,3,4,2,1,0,0,0,0,1,0,0,2,0,3.642857143,,
Spring 2021,FNES,250,Research Methods Human Dev,1,"RIINA, E",29,5,5,3,1,3,1,4,1,0,0,1,0,2,3,0,3.2625,,
Spring 2021,FNES,251,Child Life: Coping w/ Med Prob,1,"WEISBROT, M",27,4,5,2,4,6,3,1,1,0,0,0,0,1,0,0,3.346153846,,
Spring 2021,FNES,253,Psychology Of Sports,1,"CAIACCIA, L",37,2,14,5,5,3,0,0,0,0,0,1,0,3,4,0,3.633333333,,
Spring 2021,FNES,256,Counseling Sexuality,1,"LOMBARDI, L",23,13,5,4,0,0,0,0,0,0,0,0,0,0,0,1,3.945454545,,
Spring 2021,FNES,260,Research Methods in Nutrition,1,"JASTI, S",31,4,12,4,5,2,2,0,1,0,0,0,0,0,1,0,3.623333333,,
Spring 2021,FNES,263,Nutrition I,1,"MINER, P",51,8,19,12,6,2,2,0,1,0,0,0,0,0,1,0,3.712,,
Spring 2021,FNES,264,Nutrition II,2,"WESTFAL, S",41,12,5,9,4,3,1,1,5,0,0,0,0,1,0,0,3.4625,,
Spring 2021,FNES,264,Nutrition II,1,"WESTFAL, S",40,2,9,7,11,3,1,2,1,0,0,2,0,1,1,0,3.328947368,,
Spring 2021,FNES,266,Phyed:Prek - Elemen,1,"WIENER, D",19,0,1,0,0,11,0,1,5,0,0,0,0,0,1,0,2.738888889,,
Spring 2021,FNES,275,Institutional Management,2,"CHOI, J",40,3,4,11,12,4,2,1,0,0,1,0,0,2,0,0,3.413157895,,
Spring 2021,FNES,300,Seminar: Career Advancement,1,"GALLUCCI, M",33,11,10,5,3,1,0,0,0,0,0,0,0,0,1,2,3.846666667,,
Spring 2021,FNES,311,Phys Fitness & Training Prog,1,"FLEMING, L",18,0,0,1,2,6,3,2,0,0,0,0,0,2,1,1,2.928571429,,
Spring 2021,FNES,325,The Apparel Industry,1,"KILLEANEY, R",19,0,1,2,3,4,5,0,1,0,1,1,0,0,1,0,2.861111111,,
Spring 2021,FNES,327,Apparel Design,1,"ZHAO, R",12,0,4,5,1,1,1,0,0,0,0,0,0,0,0,0,3.625,,
Spring 2021,FNES,337,Nutrition Counseling & Educ,1,"HELFAND, S",33,0,4,8,3,6,3,2,3,0,0,0,0,0,3,1,3.179310345,,
Spring 2021,FNES,340,Kinesiology,1,"HANSON, D",56,0,22,12,9,4,2,2,2,0,0,1,0,0,2,0,3.501851852,,
Spring 2021,FNES,341,Biomechanics,1,"HUNG, Y",20,0,6,2,2,4,2,0,2,0,0,0,0,1,1,0,3.3,,
Spring 2021,FNES,341,Biomechanics,2,"HUNG, Y",17,0,1,2,3,2,0,3,2,0,0,0,0,1,3,0,2.938461538,,
Spring 2021,FNES,342,Physiology Muscular Activity,2,"LEMONDA, T",32,2,0,1,6,10,4,6,0,0,0,1,1,1,0,0,2.809677419,,
Spring 2021,FNES,342,Physiology Muscular Activity,1,"TONER, M",27,0,0,0,3,7,4,2,7,0,0,0,0,0,3,1,2.62173913,,
Spring 2021,FNES,343,Motor Learning and Performance,1,"CHINNAN, A",35,3,4,6,8,4,8,0,0,0,0,0,0,1,1,0,3.339393939,,
Spring 2021,FNES,347,Fam&Cross-Cult Persp,1,"ROBILA, M",24,4,7,5,1,2,2,1,0,0,0,0,0,0,2,0,3.613636364,,
Spring 2021,FNES,349,Family Issues & Conflict Resol,1,"ROBILA, M",18,5,5,3,0,1,0,0,1,1,0,0,0,0,2,0,3.74,,
Spring 2021,FNES,352,Physio Prin Exercise Training,2,"QUILES GONZALEZ, N",36,0,2,12,4,5,4,4,5,0,0,0,0,0,0,0,3.072222222,,
Spring 2021,FNES,353,Fitness Assess & Prescription,1,"QUILES GONZALEZ, N",29,1,4,3,6,8,3,3,1,0,0,0,0,0,0,0,3.168965517,,
Spring 2021,FNES,361,Sports Nutrition,1,"LEE, F",14,1,2,7,1,1,1,0,0,0,0,0,0,0,1,0,3.607692308,,
Spring 2021,FNES,362,Nutrit for Exer Professional,1,"KUPERSMID, D",29,0,14,7,6,2,0,0,0,0,0,0,0,0,0,0,3.713793103,,
Spring 2021,FNES,365,Nutrition Assessment,1,"WESTFAL, S",30,4,3,9,4,5,1,2,0,0,0,0,0,1,1,0,3.457142857,,
Spring 2021,FNES,365,Nutrition Assessment,1A,"WESTFAL, S",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,,
Spring 2021,FNES,366,Medical Nutrition Therapy,1,"CHARNY, A",25,1,11,4,4,1,1,1,1,0,0,0,0,0,1,0,3.583333333,,
Spring 2021,FNES,368,Life Cycle Nutrition,1,"KOVACS, L",33,10,13,4,4,0,0,1,0,0,0,0,0,0,1,0,3.821875,,
Spring 2021,FNES,369,Methods For Tch Sec Phyed,1,"HERMAN, A",17,0,2,2,3,2,0,0,1,0,0,0,0,0,7,0,3.33,,
Spring 2021,FNES,377,Internship in Exercise Science,1,"AZZOLLINI, A",15,0,11,2,1,0,0,0,0,0,0,0,0,0,0,1,3.907142857,,
Spring 2021,FNES,377,Internship in Exercise Science,2,"HANSON, D",15,0,7,2,1,0,3,0,2,0,0,0,0,0,0,0,3.386666667,,
Spring 2021,FNES,378,"Quant Food Purch, Prod & Equip",1,"CHOI, J",28,1,6,6,5,3,2,3,1,0,0,0,0,0,0,1,3.333333333,,
Spring 2021,FNES,379,Std Tchg Phy Educ,1,"FIGELMAN, R",15,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,3.92,,
Spring 2021,FNES,380,Seminar In Fam & Consumer Sci,2,"GALLUCCI, M",11,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,,
Spring 2021,FNES,381,Special Physical Education,1,"HOOVER, R",15,0,5,3,2,3,0,1,0,0,0,0,0,0,0,1,3.5,,
Spring 2021,FNES,560,Teaching Proc&Assessment in PE,1,"FIGELMAN, R",14,1,3,2,0,2,0,2,2,0,0,0,0,0,2,0,3.166666667,,
Spring 2021,FNES,561,Meth Tchg Eece Phyed,1,"WIENER, D",11,0,4,1,0,4,0,1,1,0,0,0,0,0,0,0,3.272727273,,
Spring 2021,FNES,573,Student Teaching Physical Ed,1,"FIGELMAN, R",12,2,7,0,2,0,0,0,0,0,0,0,0,0,1,0,3.872727273,,
Spring 2021,FNES,643,Tchg Div Stu,1,"MOSENSON, A",16,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,3.98125,,
Spring 2021,FNES,711,VT:Contemporary Issues in FNES,1,"MALKIN WASHEIM, D",22,0,7,7,5,3,0,0,0,0,0,0,0,0,0,0,3.609090909,,
Spring 2021,FNES,714,Analy Teach In Phys Ed,1,"BUTERA, J",16,1,6,4,5,0,0,0,0,0,0,0,0,0,0,0,3.70625,,
Spring 2021,FNES,715,Mvmt Exp-Atypical Population,1,"HOOVER, R",15,1,7,3,1,1,0,0,0,0,0,0,0,1,1,0,3.8,,
Spring 2021,FNES,716,App Context Issues Phys Ed,1,"BUTERA, J",16,1,9,5,1,0,0,0,0,0,0,0,0,0,0,0,3.8625,,
Spring 2021,FNES,720,Physiol Prin Fitness,1,"THOZHUTHUNGAL BALACHANDRAN, A",12,1,3,3,0,3,0,1,1,0,0,0,0,0,0,0,3.366666667,,
Spring 2021,FNES,722,"Exer,Nutr, & Weight Control",1,"THOZHUTHUNGAL BALACHANDRAN, A",24,2,8,7,2,3,1,0,1,0,0,0,0,0,0,0,3.591666667,,
Spring 2021,FNES,724,Adult Fit & Exer,1,"QUILES GONZALEZ, N",16,1,1,9,4,1,0,0,0,0,0,0,0,0,0,0,3.59375,,
Spring 2021,FNES,731,Research I: Action Research,1,"ARMOZA, F",13,8,1,0,0,2,2,0,0,0,0,0,0,0,0,0,3.646153846,,
Spring 2021,FNES,762,Nutrition Counseling,1,"MINER, P",14,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,3.928571429,,
Spring 2021,FNES,770,Community Nutrition,1,"JASTI, S",16,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,
Spring 2021,FNES,774,"Internship in Dietetics I, II",1,"CHARNY, A",12,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.972727273,,
Spring 2021,FNES,781,VT: Sem Family&Consumer Sci Ed,1,"GALANTE, A",11,2,4,0,3,1,0,0,0,0,0,0,0,0,1,0,3.69,,
Spring 2021,FNES,796,Rsch Nutr & Exer Science,1,"JASTI, S",17,10,4,2,1,0,0,0,0,0,0,0,0,0,0,0,3.923529412,,
